country_or_area,element,year,unit,value,value_footnotes,category
Afghanistan,Area Harvested,2007,Ha,137000,,maize
Afghanistan,Area Harvested,2006,Ha,137000,,maize
Afghanistan,Area Harvested,2005,Ha,261000,,maize
Afghanistan,Area Harvested,2004,Ha,250000,,maize
Afghanistan,Area Harvested,2003,Ha,250000,,maize
Afghanistan,Area Harvested,2002,Ha,1.00E+05,,maize
Afghanistan,Area Harvested,2001,Ha,80000,,maize
Afghanistan,Area Harvested,2000,Ha,96000,,maize
Afghanistan,Area Harvested,1999,Ha,160000,,maize
Afghanistan,Area Harvested,1998,Ha,2.00E+05,,maize
Afghanistan,Area Harvested,1997,Ha,2.00E+05,,maize
Afghanistan,Area Harvested,1996,Ha,220000,F ,maize
Afghanistan,Area Harvested,1995,Ha,320000,F ,maize
Afghanistan,Area Harvested,1994,Ha,3.00E+05,F ,maize
Afghanistan,Area Harvested,1993,Ha,280000,F ,maize
Afghanistan,Area Harvested,1992,Ha,2.00E+05,F ,maize
Afghanistan,Area Harvested,1991,Ha,250000,,maize
Afghanistan,Area Harvested,1990,Ha,273000,,maize
Afghanistan,Area Harvested,1989,Ha,270000,,maize
Afghanistan,Area Harvested,1988,Ha,290000,,maize
Afghanistan,Area Harvested,1987,Ha,302000,,maize
Afghanistan,Area Harvested,1986,Ha,336000,,maize
Afghanistan,Area Harvested,1985,Ha,346500,,maize
Afghanistan,Area Harvested,1984,Ha,366000,,maize
Afghanistan,Area Harvested,1983,Ha,384000,,maize
Afghanistan,Area Harvested,1982,Ha,398000,,maize
Afghanistan,Area Harvested,1981,Ha,420000,F ,maize
Afghanistan,Yield,2007,Hg/Ha,26277,Fc,maize
Afghanistan,Yield,2006,Hg/Ha,26204,Fc,maize
Afghanistan,Yield,2005,Hg/Ha,12068,Fc,maize
Afghanistan,Yield,2004,Hg/Ha,16000,Fc,maize
Afghanistan,Yield,2003,Hg/Ha,8400,Fc,maize
Afghanistan,Yield,2002,Hg/Ha,29800,Fc,maize
Afghanistan,Yield,2001,Hg/Ha,20000,Fc,maize
Afghanistan,Yield,2000,Hg/Ha,11979,Fc,maize
Afghanistan,Yield,1999,Hg/Ha,15000,Fc,maize
Afghanistan,Yield,1998,Hg/Ha,16500,Fc,maize
Afghanistan,Yield,1997,Hg/Ha,15000,Fc,maize
Afghanistan,Yield,1996,Hg/Ha,16363,Fc,maize
Afghanistan,Yield,1995,Hg/Ha,16562,Fc,maize
Afghanistan,Yield,1994,Hg/Ha,16666,Fc,maize
Afghanistan,Yield,1993,Hg/Ha,16785,Fc,maize
Afghanistan,Yield,1992,Hg/Ha,15000,Fc,maize
Afghanistan,Yield,1991,Hg/Ha,16800,Fc,maize
Afghanistan,Yield,1990,Hg/Ha,17582,Fc,maize
Afghanistan,Yield,1989,Hg/Ha,16962,Fc,maize
Afghanistan,Yield,1988,Hg/Ha,17034,Fc,maize
Afghanistan,Yield,1987,Hg/Ha,17019,Fc,maize
